fid,tag,x,y,w,h,s,ul,ut,ur,ub
1,-1,420,345,113,113,0.95,1,1,1,1
1,-1,673,337,147,130,0.95,1,1,1,1
1,-1,193,213,69,49,0.95,1,1,1,1
1,-1,353,200,53,42,0.95,1,1,1,1
1,-1,232,257,108,81,0.95,1,1,1,1
1,-1,241,185,57,38,0.95,1,1,1,1
1,-1,6,313,139,98,0.95,1,1,1,1
1,-1,273,169,40,25,0.95,1,1,1,1
1,-1,438,151,104,126,0.95,1,1,1,1
1,-1,148,172,52,48,0.95,1,1,1,1
1,-1,304,146,32,28,0.95,1,1,1,1
1,-1,220,356,165,145,0.95,1,1,1,1
1,-1,279,111,22,13,0.95,1,1,1,1
1,-1,345,133,30,18,0.95,1,1,1,1
1,-1,354,162,34,17,0.95,1,1,1,1
1,-1,314,113,24,13,0.95,1,1,1,1
1,-1,316,120,24,15,0.95,1,1,1,1
1,-1,4,189,43,53,0.95,1,1,1,1
1,-1,447,112,37,41,0.95,1,1,1,1
2,-1,7,300,157,92,0.95,1,1,1,1
2,-1,673,326,137,119,0.95,1,1,1,1
2,-1,429,326,105,105,0.95,1,1,1,1
2,-1,356,194,54,46,0.95,1,1,1,1
2,-1,204,212,61,51,0.95,1,1,1,1
2,-1,241,252,101,69,0.95,1,1,1,1
2,-1,245,183,56,37,0.95,1,1,1,1
2,-1,279,168,35,26,0.95,1,1,1,1
2,-1,243,337,146,131,0.95,1,1,1,1
2,-1,441,157,96,111,0.95,1,1,1,1
2,-1,352,164,40,33,0.95,1,1,1,1
2,-1,345,132,29,19,0.95,1,1,1,1
2,-1,279,111,21,14,0.95,1,1,1,1
2,-1,304,144,31,29,0.95,1,1,1,1
2,-1,148,170,53,49,0.95,1,1,1,1
2,-1,314,114,23,12,0.95,1,1,1,1
2,-1,356,141,29,18,0.95,1,1,1,1
3,-1,429,310,106,95,0.95,1,1,1,1
3,-1,43,284,142,93,0.95,1,1,1,1
3,-1,668,314,129,112,0.95,1,1,1,1
3,-1,358,189,52,43,0.95,1,1,1,1
3,-1,206,209,62,46,0.95,1,1,1,1
3,-1,255,179,50,36,0.95,1,1,1,1
3,-1,261,322,136,113,0.95,1,1,1,1
3,-1,261,241,88,65,0.95,1,1,1,1
3,-1,438,148,94,110,0.95,1,1,1,1
3,-1,344,132,33,18,0.95,1,1,1,1
3,-1,353,166,43,28,0.95,1,1,1,1
3,-1,146,170,53,49,0.95,1,1,1,1
3,-1,124,137,34,30,0.95,1,1,1,1
3,-1,304,143,31,17,0.95,1,1,1,1
3,-1,282,167,33,25,0.95,1,1,1,1
3,-1,182,141,24,19,0.95,1,1,1,1
3,-1,313,114,22,12,0.95,1,1,1,1
3,-1,357,155,30,16,0.95,1,1,1,1
3,-1,279,110,21,13,0.95,1,1,1,1
3,-1,317,121,20,13,0.95,1,1,1,1
4,-1,437,297,95,85,0.95,1,1,1,1
4,-1,61,276,137,81,0.95,1,1,1,1
4,-1,667,304,125,106,0.95,1,1,1,1
4,-1,360,183,50,42,0.95,1,1,1,1
4,-1,216,203,57,44,0.95,1,1,1,1
4,-1,258,178,48,34,0.95,1,1,1,1
4,-1,275,229,82,64,0.95,1,1,1,1
4,-1,282,306,121,107,0.95,1,1,1,1
4,-1,433,145,90,105,0.95,1,1,1,1
4,-1,144,172,63,46,0.95,1,1,1,1
4,-1,342,132,37,17,0.95,1,1,1,1
4,-1,304,142,29,18,0.95,1,1,1,1
4,-1,353,157,43,31,0.95,1,1,1,1
4,-1,119,138,38,32,0.95,1,1,1,1
4,-1,281,163,34,19,0.95,1,1,1,1
4,-1,177,141,28,21,0.95,1,1,1,1
4,-1,312,113,25,13,0.95,1,1,1,1
5,-1,443,287,92,76,0.95,1,1,1,1
5,-1,88,265,122,84,0.95,1,1,1,1
5,-1,659,296,126,91,0.95,1,1,1,1
5,-1,220,202,57,40,0.95,1,1,1,1
5,-1,432,143,91,108,0.95,1,1,1,1
5,-1,361,181,47,40,0.95,1,1,1,1
5,-1,260,177,47,33,0.95,1,1,1,1
5,-1,282,218,81,62,0.95,1,1,1,1
5,-1,294,293,120,106,0.95,1,1,1,1
5,-1,305,141,30,21,0.95,1,1,1,1
5,-1,145,173,52,46,0.95,1,1,1,1
5,-1,282,162,34,19,0.95,1,1,1,1
5,-1,344,131,32,16,0.95,1,1,1,1
5,-1,116,145,39,26,0.95,1,1,1,1
5,-1,179,149,25,19,0.95,1,1,1,1
5,-1,313,113,24,13,0.95,1,1,1,1
5,-1,359,152,29,17,0.95,1,1,1,1
6,-1,449,273,86,71,0.95,1,1,1,1
6,-1,659,293,116,91,0.95,1,1,1,1
6,-1,104,258,122,72,0.95,1,1,1,1
6,-1,433,142,89,105,0.95,1,1,1,1
6,-1,264,176,46,32,0.95,1,1,1,1
6,-1,225,195,57,41,0.95,1,1,1,1
6,-1,365,175,47,40,0.95,1,1,1,1
6,-1,307,280,109,94,0.95,1,1,1,1
6,-1,293,214,73,60,0.95,1,1,1,1
6,-1,306,142,28,21,0.95,1,1,1,1
6,-1,110,144,41,28,0.95,1,1,1,1
6,-1,141,173,63,46,0.95,1,1,1,1
6,-1,358,154,38,29,0.95,1,1,1,1
6,-1,283,163,35,17,0.95,1,1,1,1
6,-1,344,131,31,15,0.95,1,1,1,1
6,-1,172,149,33,21,0.95,1,1,1,1
6,-1,358,144,27,16,0.95,1,1,1,1
7,-1,454,267,82,66,0.95,1,1,1,1
7,-1,431,139,92,104,0.95,1,1,1,1
7,-1,125,250,108,72,0.95,1,1,1,1
7,-1,233,192,52,41,0.95,1,1,1,1
7,-1,270,175,43,30,0.95,1,1,1,1
7,-1,366,172,46,38,0.95,1,1,1,1
7,-1,656,284,110,86,0.95,1,1,1,1
7,-1,309,272,110,91,0.95,1,1,1,1
7,-1,307,141,27,21,0.95,1,1,1,1
7,-1,165,145,41,26,0.95,1,1,1,1
7,-1,297,211,66,56,0.95,1,1,1,1
7,-1,140,171,66,48,0.95,1,1,1,1
7,-1,108,144,40,32,0.95,1,1,1,1
7,-1,286,161,31,20,0.95,1,1,1,1
7,-1,357,151,38,26,0.95,1,1,1,1
7,-1,218,131,16,13,0.95,1,1,1,1
7,-1,335,125,22,17,0.95,1,1,1,1
7,-1,128,167,46,31,0.95,1,1,1,1
7,-1,358,145,28,16,0.95,1,1,1,1
7,-1,310,113,21,13,0.95,1,1,1,1
7,-1,348,131,28,16,0.95,1,1,1,1
7,-1,296,131,19,17,0.95,1,1,1,1
8,-1,460,254,74,63,0.95,1,1,1,1
8,-1,139,243,102,63,0.95,1,1,1,1
8,-1,431,141,92,98,0.95,1,1,1,1
8,-1,236,190,50,40,0.95,1,1,1,1
8,-1,650,277,105,81,0.95,1,1,1,1
8,-1,316,263,101,81,0.95,1,1,1,1
8,-1,370,170,42,38,0.95,1,1,1,1
8,-1,274,175,36,29,0.95,1,1,1,1
8,-1,310,202,64,50,0.95,1,1,1,1
8,-1,308,140,26,19,0.95,1,1,1,1
8,-1,131,455,231,82,0.95,1,1,1,1
8,-1,162,144,41,27,0.95,1,1,1,1
8,-1,124,169,42,30,0.95,1,1,1,1
8,-1,287,162,32,17,0.95,1,1,1,1
8,-1,148,171,51,49,0.95,1,1,1,1
8,-1,332,124,25,17,0.95,1,1,1,1
8,-1,357,149,38,25,0.95,1,1,1,1
8,-1,104,145,39,32,0.95,1,1,1,1
8,-1,218,133,15,13,0.95,1,1,1,1
8,-1,352,130,25,15,0.95,1,1,1,1
8,-1,277,106,21,11,0.95,1,1,1,1
9,-1,463,246,68,57,0.95,1,1,1,1
9,-1,243,186,50,38,0.95,1,1,1,1
9,-1,430,142,87,94,0.95,1,1,1,1
9,-1,158,232,101,63,0.95,1,1,1,1
9,-1,330,259,85,74,0.95,1,1,1,1
9,-1,644,268,105,78,0.95,1,1,1,1
9,-1,317,198,59,48,0.95,1,1,1,1
9,-1,374,167,38,32,0.95,1,1,1,1
9,-1,279,169,35,28,0.95,1,1,1,1
9,-1,160,147,40,26,0.95,1,1,1,1
9,-1,148,172,52,48,0.95,1,1,1,1
9,-1,114,169,46,31,0.95,1,1,1,1
9,-1,154,425,219,105,0.95,1,1,1,1
9,-1,307,140,26,19,0.95,1,1,1,1
9,-1,333,125,24,16,0.95,1,1,1,1
9,-1,99,145,39,32,0.95,1,1,1,1
9,-1,-2,379,25,67,0.95,1,1,1,1
9,-1,356,146,38,27,0.95,1,1,1,1
9,-1,291,162,29,18,0.95,1,1,1,1
9,-1,355,131,20,14,0.95,1,1,1,1
9,-1,223,104,21,11,0.95,1,1,1,1
9,-1,341,250,67,30,0.95,1,1,1,1
10,-1,246,184,52,38,0.95,1,1,1,1
10,-1,466,233,65,61,0.95,1,1,1,1
10,-1,170,227,93,58,0.95,1,1,1,1
10,-1,196,409,181,118,0.95,1,1,1,1
10,-1,635,265,107,74,0.95,1,1,1,1
10,-1,317,191,62,51,0.95,1,1,1,1
10,-1,430,136,79,90,0.95,1,1,1,1
10,-1,279,166,35,29,0.95,1,1,1,1
10,-1,105,176,45,32,0.95,1,1,1,1
10,-1,335,249,87,71,0.95,1,1,1,1
10,-1,377,162,36,33,0.95,1,1,1,1
10,-1,143,171,55,49,0.95,1,1,1,1
10,-1,0,357,53,89,0.95,1,1,1,1
10,-1,153,145,41,31,0.95,1,1,1,1
10,-1,307,138,25,20,0.95,1,1,1,1
10,-1,330,123,23,16,0.95,1,1,1,1
10,-1,96,147,37,31,0.95,1,1,1,1
10,-1,358,144,32,28,0.95,1,1,1,1
10,-1,351,130,26,17,0.95,1,1,1,1
10,-1,288,156,31,16,0.95,1,1,1,1
10,-1,437,484,67,56,0.95,1,1,1,1
10,-1,4,511,58,30,0.95,1,1,1,1
10,-1,162,132,30,15,0.95,1,1,1,1
10,-1,292,123,23,18,0.95,1,1,1,1
11,-1,216,374,182,157,0.95,1,1,1,1
11,-1,177,221,91,56,0.95,1,1,1,1
11,-1,430,135,73,87,0.95,1,1,1,1
11,-1,251,185,48,33,0.95,1,1,1,1
11,-1,466,228,63,57,0.95,1,1,1,1
11,-1,96,175,52,37,0.95,1,1,1,1
11,-1,3,335,81,108,0.95,1,1,1,1
11,-1,343,244,74,68,0.95,1,1,1,1
11,-1,320,188,58,49,0.95,1,1,1,1
11,-1,379,159,35,31,0.95,1,1,1,1
11,-1,148,171,49,49,0.95,1,1,1,1
11,-1,282,167,34,27,0.95,1,1,1,1
11,-1,635,253,98,74,0.95,1,1,1,1
11,-1,358,148,29,24,0.95,1,1,1,1
11,-1,150,148,39,29,0.95,1,1,1,1
11,-1,329,124,23,15,0.95,1,1,1,1
11,-1,5,473,106,64,0.95,1,1,1,1
11,-1,289,155,31,15,0.95,1,1,1,1
11,-1,88,148,42,30,0.95,1,1,1,1
11,-1,308,140,24,17,0.95,1,1,1,1
11,-1,292,123,21,17,0.95,1,1,1,1
11,-1,158,134,29,15,0.95,1,1,1,1
12,-1,244,351,160,141,0.95,1,1,1,1
12,-1,193,214,83,55,0.95,1,1,1,1
12,-1,256,179,46,36,0.95,1,1,1,1
12,-1,432,137,67,82,0.95,1,1,1,1
12,-1,328,182,52,44,0.95,1,1,1,1
12,-1,635,254,91,68,0.95,1,1,1,1
12,-1,469,216,61,58,0.95,1,1,1,1
12,-1,-2,314,111,115,0.95,1,1,1,1
12,-1,85,177,60,38,0.95,1,1,1,1
12,-1,346,231,76,69,0.95,1,1,1,1
12,-1,145,173,54,46,0.95,1,1,1,1
12,-1,8,430,138,106,0.95,1,1,1,1
12,-1,358,141,32,27,0.95,1,1,1,1
12,-1,329,123,22,15,0.95,1,1,1,1
12,-1,292,153,32,16,0.95,1,1,1,1
12,-1,383,156,32,30,0.95,1,1,1,1
12,-1,283,166,31,28,0.95,1,1,1,1
12,-1,304,132,25,21,0.95,1,1,1,1
