fid,tag,x,y,w,h,s,1,2,3
3,1,429.52893,309.82492,105.47101,95.118286,0.95,-1,-1,-1
3,2,668.29425,314.0597,128.88306,111.76544,0.95,-1,-1,-1
3,3,206.52878,209.11777,61.470978,46.411804,0.95,-1,-1,-1
3,4,358.05862,188.94162,52.176453,43.41162,0.95,-1,-1,-1
3,5,260.352,241.35345,88.35364,64.53015,0.95,-1,-1,-1
3,6,254.6466,179.11786,50.29431,36.00006,0.95,-1,-1,-1
3,7,40.94026,284.17755,143.9406,92.5885,0.95,-1,-1,-1
3,8,282.1761,167.00008,32.823853,25.117615,0.95,-1,-1,-1
3,9,438.35284,148.88223,93.64752,109.17731,0.95,-1,-1,-1
3,10,146.11769,169.88245,53.058777,49.058777,0.95,-1,-1,-1
3,11,304.0,142.94128,30.941223,17.764954,0.95,-1,-1,-1
3,12,261.29248,321.76605,135.4718,113.23645,0.95,-1,-1,-1
3,13,279.0,110.05885,20.941223,13.117615,0.95,-1,-1,-1
3,14,344.05884,131.94122,32.70581,18.117615,0.95,-1,-1,-1
3,16,313.05884,114.05878,22.000122,11.941223,0.95,-1,-1,-1
4,1,436.1811,296.4071,96.43054,85.09033,0.95,-1,-1,-1
4,2,666.6132,303.73962,124.29883,105.6676,0.95,-1,-1,-1
4,3,215.18103,203.54877,57.513,43.856018,0.95,-1,-1,-1
4,4,360.04486,183.10822,50.134888,42.00885,0.95,-1,-1,-1
4,5,275.4223,229.42303,81.19977,63.181885,0.95,-1,-1,-1
4,6,258.80035,177.6313,47.61328,34.152954,0.95,-1,-1,-1
4,7,62.178085,274.91217,136.95447,82.67334,0.95,-1,-1,-1
4,8,281.74637,163.4588,33.406494,19.854492,0.95,-1,-1,-1
4,9,433.57562,144.75699,90.036255,104.982544,0.95,-1,-1,-1
4,10,144.08997,171.60431,61.515747,46.503662,0.95,-1,-1,-1
4,11,304.0,141.95511,29.260864,16.596802,0.95,-1,-1,-1
4,12,281.76514,305.97382,121.360596,105.34552,0.95,-1,-1,-1
4,14,342.19788,131.95508,36.775146,17.089905,0.95,-1,-1,-1
4,16,312.04498,113.197845,24.388367,12.802155,0.95,-1,-1,-1
4,20,353.05878,157.64717,43.17627,30.529602,0.95,-1,-1,-1
5,1,442.4781,285.76996,91.83807,75.848145,0.95,-1,-1,-1
5,2,660.0703,295.28036,124.2074,92.68036,0.95,-1,-1,-1
5,3,220.35431,201.44458,56.549377,40.199524,0.95,-1,-1,-1
5,4,361.2525,180.24806,47.319458,40.13803,0.95,-1,-1,-1
5,5,284.11078,218.13959,79.00226,61.478638,0.95,-1,-1,-1
5,6,261.12155,176.59409,46.31781,32.9386,0.95,-1,-1,-1
5,7,87.6941,264.49683,123.71862,82.529175,0.95,-1,-1,-1
5,8,282.29266,161.81575,33.645874,18.540741,0.95,-1,-1,-1
5,9,431.63983,142.33713,90.01929,106.40973,0.95,-1,-1,-1
5,10,144.40976,172.83688,55.057434,45.849182,0.95,-1,-1,-1
5,11,304.78094,140.96657,29.624634,18.947754,0.95,-1,-1,-1
5,12,295.66544,292.36703,117.42047,103.14728,0.95,-1,-1,-1
5,14,343.31488,131.18561,33.8042,16.066956,0.95,-1,-1,-1
5,16,312.59534,112.97203,24.245728,13.027969,0.95,-1,-1,-1
5,20,358.12744,151.88304,31.275635,19.23996,0.95,-1,-1,-1
5,22,115.88269,144.64682,39.17624,26.470642,0.95,-1,-1,-1
5,23,178.58846,148.52924,25.411621,19.23523,0.95,-1,-1,-1
6,1,448.63177,272.8251,86.22803,69.7666,0.95,-1,-1,-1
6,2,658.2111,290.96536,117.048096,89.05505,0.95,-1,-1,-1
6,3,225.34747,195.79977,56.364685,39.95871,0.95,-1,-1,-1
6,4,364.48895,175.17517,46.54016,39.631042,0.95,-1,-1,-1
6,5,294.20016,212.22409,72.80463,59.632202,0.95,-1,-1,-1
6,6,264.5205,175.64388,45.34082,31.891815,0.95,-1,-1,-1
6,7,106.21485,256.68195,120.02306,73.829346,0.95,-1,-1,-1
6,8,283.13184,162.15506,34.499756,16.78656,0.95,-1,-1,-1
6,9,431.9287,141.06479,88.678894,104.794556,0.95,-1,-1,-1
6,10,141.62018,173.18146,61.06714,45.70099,0.95,-1,-1,-1
6,11,305.75598,141.45409,28.294678,19.860046,0.95,-1,-1,-1
6,12,308.6557,279.30188,108.635254,94.11548,0.95,-1,-1,-1
6,14,343.70587,130.95822,32.0271,15.051147,0.95,-1,-1,-1
6,20,358.62103,144.39487,26.678589,15.564331,0.95,-1,-1,-1
6,22,110.368996,144.9534,40.981865,27.136414,0.95,-1,-1,-1
6,23,173.06158,149.86348,31.63263,20.568176,0.95,-1,-1,-1
7,1,454.0075,264.86105,81.73926,64.61072,0.95,-1,-1,-1
7,2,655.6355,283.55798,110.58618,84.69006,0.95,-1,-1,-1
7,3,232.4445,191.94406,52.82057,40.01935,0.95,-1,-1,-1
7,4,366.19202,171.56067,45.6604,38.10382,0.95,-1,-1,-1
7,5,299.7921,208.61127,66.05835,56.293762,0.95,-1,-1,-1
7,6,269.712,174.7024,43.00128,30.177856,0.95,-1,-1,-1
7,7,126.23051,248.8988,109.215385,71.1142,0.95,-1,-1,-1
7,8,285.4975,160.92905,31.949951,18.453674,0.95,-1,-1,-1
7,9,430.71643,138.67511,90.47772,103.644226,0.95,-1,-1,-1
7,10,140.03134,171.82933,65.16809,47.1239,0.95,-1,-1,-1
7,11,306.77924,140.9473,27.163635,20.262695,0.95,-1,-1,-1
7,12,313.5924,269.94037,106.88257,89.37634,0.95,-1,-1,-1
7,14,337.42767,126.61404,24.964722,16.182442,0.95,-1,-1,-1
7,16,310.2676,112.9122,21.590149,13.087799,0.95,-1,-1,-1
7,20,351.26044,132.77112,26.269287,14.671814,0.95,-1,-1,-1
7,22,107.52983,144.84116,40.5999,30.568542,0.95,-1,-1,-1
7,23,166.18456,146.86955,39.500183,24.8461,0.95,-1,-1,-1
8,1,459.81775,253.61893,74.830444,61.110107,0.95,-1,-1,-1
8,2,650.7117,276.48303,105.079834,80.02539,0.95,-1,-1,-1
8,3,236.74515,189.38853,50.26361,39.44754,0.95,-1,-1,-1
8,4,369.47583,169.12003,42.641907,37.63031,0.95,-1,-1,-1
8,5,310.24493,201.50278,62.61548,51.06714,0.95,-1,-1,-1
8,6,274.1041,174.44998,37.41162,28.942322,0.95,-1,-1,-1
8,7,141.91666,241.78214,101.6275,64.1131,0.95,-1,-1,-1
8,8,286.96576,161.26306,31.771729,17.035217,0.95,-1,-1,-1
8,9,430.38055,139.38208,91.18848,99.15082,0.95,-1,-1,-1
8,10,145.12582,171.32945,56.039978,48.347656,0.95,-1,-1,-1
8,11,307.81042,140.10233,26.10608,19.070435,0.95,-1,-1,-1
8,12,319.46603,261.05606,100.41669,81.145996,0.95,-1,-1,-1
8,13,277.03003,106.00354,20.981445,10.992035,0.95,-1,-1,-1
8,14,333.17023,124.42552,24.595337,16.614197,0.95,-1,-1,-1
8,20,351.60648,128.5131,24.225342,13.867706,0.95,-1,-1,-1
8,22,103.90074,145.42854,39.67282,31.671204,0.95,-1,-1,-1
8,23,162.00227,145.0769,41.766937,26.867981,0.95,-1,-1,-1
8,26,356.94122,148.94138,38.0,24.882538,0.95,-1,-1,-1
9,1,463.71783,244.63853,68.46362,56.080338,0.95,-1,-1,-1
9,2,644.9796,268.13812,103.34326,76.59851,0.95,-1,-1,-1
9,3,242.82458,185.90207,49.434937,37.950134,0.95,-1,-1,-1
9,4,373.3025,166.38206,38.886963,33.40155,0.95,-1,-1,-1
